"id","name","title","gender","birth_date","death_date","min_offset_to_royal","min_dist_to_royal","x","y"
"I1","Victoria  (Hanover)","Queen of England","F",1819,1901,"5.5","4",36.5229694749084,950.374624025754
"I2","Albert Augustus Charles","Prince","M",1819,1861,"5.5","4",47.3966887177566,946.274813260248
"I3","Victoria Adelaide Mary","Princess Royal","F",1840,1901,"8","4",225.15634404987,912.366017600918
"I4","Edward VII  (Wettin)","King of England","M",1841,1910,"5.5","3",-24.5329081961309,912.261734128222
"I5","Alice Maud Mary","Princess","F",1843,1878,"6","4",87.6121264771078,900.913373328865
"I6","Alfred Ernest Albert","Prince","M",1844,1900,"5.5","5",55.6921970932237,895.652326347044
"I7","Helena Augusta Victoria","Princess","F",1846,1923,"5.5","5",-34.2272943501331,908.42314212789
"I8","Louise Caroline Alberta","Princess","F",1848,1939,"5.5","5",-12.5995945230492,905.705938888698
"I9","Arthur William Patrick","Prince","M",1850,1942,"5.5","3",-26.0243988610024,884.292191332288
"I10","Leopold George Duncan","Prince","M",1853,1884,"5.5","5",32.5133486773078,881.010190088245
"I11","Beatrice Mary Victoria","Princess","F",1857,1944,"8","4",201.087793175721,864.893091798782
"I12","Alexandra of Denmark ""Alix""","Princess","F",1844,1925,"5.5","3",-32.3659426410253,900.100947019442
"I13","Albert Victor Christian","Duke","M",1864,1892,"5.5","4",-60.3159694147791,858.328938410612
"I14","George V  (Windsor)","King of England","M",1865,1936,"6","2",54.9835607755515,830.700260307722
"I15","Louise Victoria Alexandra","Princess Royal","F",1867,1931,"5.5","4",-70.7290383620706,841.535052280423
"I16","Victoria Alexandra Olga","","F",1868,1935,"5.5","4",-31.8878890971613,843.035867422029
"I17","Maude Charlotte Mary","Princess","F",1869,1938,"5","2",-94.101006439488,831.779573506705
"I18","John Alexander","","M",1871,1871,"5.5","4",-53.6166103219171,837.763478438521
"I19","George Victor of Waldeck","Prince","M",1831,1889,"9","5",249.116696401878,927.940889228357
"I20","Frederick III ","German Emperor","M",1831,1888,"8","4",261.636348965438,924.186796484414
"I21","William II ","German Emperor","M",1859,1941,"8","4",308.865810164311,857.677493694968
"I22","Louis IV of Hesse","Grand Duke","M",1837,1892,"6","4",97.5796878033218,909.782549694663
"I23","Helena Frederica of Waldeck","Princess","F",1861,1922,"6.2","6",123.824206413695,862.977354524819
"I24","Alice of Athlone","Princess","F",1883,1981,"6","5",114.335269785058,785.950340415921
"I25","Henry Maurice of Battenberg","Prince","M",1858,1896,"8","4",236.776068132232,868.088254884569
"I26","Alexander of Carisbrooke","Marquess","M",1886,1960,"8","5",256.363432302731,771.979840721081
"I27","Victoria Eugenie ""Ena""","Queen of Spain","F",1887,1969,"8","3",273.050350018039,760.975810549766
"I28","Leopold ","","M",1889,1922,"8","5",237.041716349084,775.993952154979
"I29","Maurice ","Prince","M",1891,1914,"8","5",230.143768944376,765.889936631895
"I30","Mary of Teck (May)","Queen","F",1867,1953,"6","2",84.6762423593357,823.97791757621
"I31","Edward VIII  (Windsor)","Duke of Windsor","M",1894,1972,"6","3",78.6393959863129,751.414008826473
"I32","George VI  (Windsor)","King of England","M",1895,1952,"6","1",82.1177313653542,732.911361446649
"I33","Mary  (Windsor)","Princess Royal","F",1897,1965,"6","3",53.1132615687462,729.145158255365
"I34","Henry William Frederic (Windsor)","Duke","M",1900,1974,"6","3",93.7462697447618,712.449795263585
"I35","George Edward Alexande (Windsor)","Duke of Kent","M",1902,1942,"6","3",89.7626786898865,692.090027514554
"I36","John Charles Franci (Windsor)","Prince","M",1905,1919,"6","3",103.021972724224,714.267059622525
"I37","Nicholas II Alexandrovich (Romanov)","Tsar of Russia","M",1868,1918,"5","6",-44.9310894100396,831.499468622546
"I38","Victoria Alberta of Hesse","Princess","F",1863,1950,"6","3",116.299807381425,851.323627335657
"I39","Alexandra Fedorovna ""Alix""","Tsarina","F",1872,1918,"6","5",36.0373953926164,821.329029244375
"I40","Alexander III Alexandrovich (Romanov)","Tsar of Russia","M",1845,1894,"5","6",-69.8054025585708,897.201879547344
"I41","Dagmar ""Marie"" of Denmark","Tsarina","F",1847,1928,"5","5",-93.7001130638326,894.64679874407
"I42","Nicholas I  (Romanov)","Tsar of Russia","M",1796,1855,"6","5",134.952321001426,998.601632085407
"I43","Charlotte of Prussia","Princess","F",1798,1860,"6","5",79.0002129603275,994.545215328433
"I44","Alexander II Nicholoevich (Romanov)","Tsar of Russia","M",1818,1881,"6","6",15.070389816891,943.191494698649
"I45","Marie of Hesse- Darmstadt","","F",1824,1880,"6","6",24.5222467513255,945.740206801909
"I46","Olga Nicholovna (Romanov)","Grand Duchess","F",1895,1918,"6","6",-10.1068348424548,744.019540029622
"I47","Tatiana Nicholovna","Grand Duchess","F",1897,1918,"6","6",-25.7871190777247,739.974850875025
"I48","Maria Nicholovna (Romanov)","Grand Duchess","F",1899,1918,"6","6",-3.67623289689767,734.084062658773
"I49","Anastasia Nicholovna (Romanov)","Grand Duchess","F",1901,1918,"6","6",-5.08119325123456,726.622366589189
"I50","Alexis Nicolaievich (Romanov)","Tsarevich","M",1904,1918,"6","6",-16.4980424209916,717.116092706821
"I51","Elizabeth Angela Marguerit (Bowes-Lyon)","Lady","F",1900,,"6","1",117.879960800415,729.027769095671
"I52","Elizabeth II Alexandra Mary (Windsor)","Queen of England","F",1926,,"6","0",57.7777777777778,598.417266235668
"I53","Margaret Rose (Windsor)","Princess","F",1930,,"6","2",90.6796268229846,599.874904719701
"I54","Anthony Charles Rober (Armstrong-Jones)","Earl of Snowdon","M",1930,,"6","3",61.9299577930739,575.797472463211
"I55","David Albert Charle (Armstrong-Jones)","Vicount Linley","M",1961,,"6","3",71.5979460869526,468.031857154517
"I56","Sarah Frances Elizabet (Armstrong-Jones)","Lady","F",1964,,"6","3",78.195441629314,447.219249766031
"I57","Philip  (Mountbatten)","Prince","M",1921,,"6","1",85.4618409845314,621.350214301361
"I58","Charles Philip Arthu (Windsor)","Prince","M",1948,,"6","1",42.6255150166239,504.660477655467
"I59","Anne Elizabeth Alic (Windsor)","Princess","F",1950,,"6","1",89.942637188092,501.594378406721
"I60","Andrew Albert Christia (Windsor)","Duke of York","M",1960,,"6","1",56.7552397387572,462.361444076176
"I61","Edward Anthony Richar (Windsor)","Prince","M",1964,,"6","1",92.0838217280101,454.915612205967
"I62","Mark Anthony Pete (Phillips)","Captain","M",1948,,"6","2",58.1811109503181,498.82781981614
"I63","Peter Mark Andre (Phillips)","","M",1977,,"6","2",79.0571831614177,386.608767980931
"I64","Zara Anne Elizabet (Phillips)","","F",1981,,"6","2",80.4230728776029,365.350258455107
"I65","Diana Frances (Spencer)","Lady","F",1961,1997,"6","2",36.9336436381209,452.189424931874
"I66","Marina of Greece","Princess","F",1906,1968,"6","4",81.7763226963096,675.265017942064
"I67","Edward George Nichola (Windsor)","Duke of Kent","M",1935,,"6","4",96.7875965332838,565.852431414471
"I68","Henry George Charle (Lascelles)","Viscount","M",1882,1947,"6","4",34.5273609198064,762.046768636492
"I69","Alice Christabel (Montagu-Douglas)","Lady","F",1901,,"6","4",145.465922444799,694.971808457462
"I70","Bessiewallis  (Warfield)","","F",1896,1986,"6","4",52.6389306772198,735.480147676462
"I71","Charles Haakon VII","King of Norway","M",1872,1957,"5","2",-144.668169183965,821.116387617438
"I72","Henry of Prussia","Prince","M",1862,1929,"8","5",239.06983113039,858.94165151467
"I73","Sigismund ","","M",1864,1866,"8","5",251.301362855428,858.258927471107
"I74","Victoria ","Princess","F",1866,1929,"8","5",290.505640014394,854.018498646379
"I75","Waldemar ","","M",1868,1879,"8","5",248.051616971219,847.247997857452
"I76","Sophie of Prussia","Queen of Greece","F",1870,1932,"8","3",241.911456519746,825.588438682784
"I77","Charlotte of Saxe- Meiningen","Duchess","F",1860,1919,"8","5",255.828365491345,872.93133105655
"I78","Margarete of Hesse","Princess","F",1872,1954,"8","5",272.001528735384,839.401130028227
"I79","Irene of Hesse","Princess","F",1866,1953,"6","5",170.273340962447,846.747495167906
"I80","Waldemar ","","M",1889,1945,"7","6",215.98944367561,772.38725264722
"I81","Henry ","","M",1900,1904,"7","6",206.780766140186,733.566891907063
"I82","Child #3 ","","M",1889,,"7","6",204.490343351421,772.591275484079
"I83","Ernest Louis of Hesse","Grand Duke","M",1868,1937,"6","5",75.3965748813389,831.290417426699
"I84","Elizabeth ""Ella""","Grand Duchess","F",1864,1918,"6","5",105.146983852306,859.394327214736
"I85","Mary ""May""","","F",1874,1878,"6","5",116.820222627998,825.286196645138
"I86","Frederick ","","M",1870,1873,"6","5",121.996938501478,843.399691735501
"I87","William Henry Andre (Windsor)","Prince","M",1941,1972,"6","4",110.65645642314,558.186027206396
"I88","Richard Alexander Walte (Windsor)","Prince","M",1944,,"6","4",87.2384280068798,528.398500758944
"I89","Birgitte of Denmark (von Deurs)","Duchess","F",1947,,"6","5",71.3099580339772,498.674725254334
"I90","Alexander Patrick Gregers","Earl of Ulster","M",1974,,"6","5",63.7855178604409,406.338992498481
"I91","Earl Winfield (Spencer)","Jr.","M",1896,,"6","5",-13.9402719889532,727.635665060903
"I92","Ernest  (Simpson)","","M",1896,,"6","5",-10.7652325037431,734.162255161099
"I93","Frances  (Burke Roche)","Hon.","F",1936,,"6","3",47.2875981955631,558.060330002356
"I94","Marie Alexandrovna","Grand Duchess","F",1853,1920,"5.5","6",42.0053410270135,878.515496475529
"I95","Alfred ","Prince","M",1874,1899,"5.5","6",9.33598610243038,826.341714570976
"I96","Marie of Saxe-Coburg and Gotha","Queen of Romania","F",1875,1938,"6","6",120.947138431826,800.515925271982
"I97","Victoria Melita of Edinburgh","Grand Duchess","F",1876,1936,"5.5","6",56.9262705660628,794.327995967082
"I98","Alexandra ","Princess","F",1878,1942,"5.5","6",-5.95400221813334,812.642598179311
"I99","Beatrice ","Princess","F",1884,1966,"5.5","6",36.2862928176182,791.824890745665
"I100","Louis of Battenberg","Prince","M",1854,1921,"6","3",156.432623541363,867.839572822352
"I101","Alice of Battenberg","Princess","F",1885,1969,"6","2",102.730878033275,764.917269603038
"I102","George  (Mountbatten)","Marquess","M",1892,1938,"6","4",117.501796098696,747.556374035354
"I103","Louis of Burma (Mountbatten)","Earl Mountbatten","M",1900,1979,"6","4",151.595685061653,723.942543824125
"I104","Andrew of Greece","Prince","M",1882,1944,"6","2",72.2751646420332,776.848780875823
"I105","Alexander  (Duff)","Duke of Fife","M",1849,1912,"5.5","5",-104.549781457852,882.105563513786
"I106","Alexandra  (Windsor)","Princess","F",1936,,"6","4",118.447497595809,561.429382556656
"I107","Michael  (Windsor)","Prince","M",1942,,"6","4",51.4712783694826,539.265488238673
"I108","Angus  (Ogilvy)","Hon.","M",1928,,"6","5",124.91682699811,579.953237975582
"I109","James Robert Bruc (Ogilvy)","","M",1964,,"6","5",130.559689368556,441.717384713111
"I110","Marina Victoria Alexandr (Ogilvy)","","F",1966,,"6","5",109.496571729133,427.298405020177
"I111","Katharine  (Worsley)","Duchess of Kent","F",1933,,"6","5",131.674180745161,559.216991564847
"I112","George Philip of St. Andrew (Windsor)","Earl","M",1962,,"6","5",128.501396288476,452.922306748064
"I113","Helen Marina Luc (Windsor)","Lady","F",1964,,"6","5",109.320657809787,444.87151832272
"I114","Nicholas Charles Edwar (Windsor)","Lord","M",1970,,"6","5",119.848186749141,419.686733507251
"I115","William Arthur Phili (Windsor)","Prince","M",1982,,"6","2",14.9765644025823,350.903558531122
"I116","Henry Charles Alber (Windsor)","Prince","M",1984,,"6","2",31.7442829549766,352.402192682078
"I117","(Frederick) Christian Charles","Prince","M",1831,1917,"5.5","6",-73.5561948978478,922.505036405272
"I118","Marie Louise","Princess","F",1872,1956,"5.5","6",-76.6003045137799,827.786468886099
"I119","Aribert of Anhalt","","M",1864,1933,"5.5","7",-45.8530496224358,854.373807467885
"I120","Louise Margaret of Prussia","Duchess","F",1860,1917,"5.5","3",-70.9656059835492,859.342495557929
"I121","Margaret of Sweden","Crown Princess","F",1882,1920,"5.5","2",-44.8994449994523,769.314416496844
"I122","Arthur of Connaught","Duke","M",1883,1938,"5.5","4",-70.5859968779082,792.572946334294
"I123","Patricia ","Lady Ramsay","F",1886,1974,"5.5","4",-73.8596789083713,767.472513793436
"I124","Gustav VI Adolf","King of Sweden","M",1882,1973,"5.5","2",-31.1792319560297,768.166013118474
"I125","Alexandra ","Duchess of Fife","F",1891,1959,"5.5","5",-88.8436203015038,759.588283874961
"I126","Alexander  (Ramsay)","Admiral Sir","M",1881,1972,"5.5","5",-75.7234149225191,781.004156067728
"I127","Isabella of France","","F",1292,1358,"6","21",158.356433433125,1471.14480892611
"I129","Charles Edward","Duke","M",1884,1954,"5.5","6",13.2497084565634,786.385842560749
"I130","George III  (Hanover)","King of England","M",1738,1820,"6","5",33.3381452455859,1097.83274460901
"I131","(Sophia) Charlotte","","F",1744,1818,"6","5",56.2966633477036,1088.48338777421
"I132","Adolphus of Cambridge (Hanover)","Duke","M",1774,1850,"6","4",49.4782833761805,1036.81291228781
"I133","Edward Augustus (Hanover)","Duke of Kent","M",1767,1820,"5.5","5",-8.91020015545087,1049.17037805034
"I134","Augusta of Hesse-Cassel","Princess","F",1797,1889,"6","4",26.8935280119724,1002.42449838373
"I135","Augusta Caroline","","F",1822,1916,"6","5",97.2554165674471,955.841094106005
"I136","Mary Adelaide ""Fat Mary""","","F",1833,1897,"6","3",62.9151198093061,926.222023387396
"I137","Francis ","Duke of Teck","M",1837,1900,"6","3",105.271758289407,913.450536767027
"I138","Victoria Mary Louisa","","F",1786,1861,"5.5","5",-94.2739206890928,1030.1890794168
"I139","Ernest I of Saxe-Coburg- Saalfeld","Duke","M",1784,1844,"5.5","5",-83.2974033891865,1027.82980062313
"I140","Louise of Saxe-Coburg- Altenburg","","F",1800,1831,"5.5","5",-18.7150275460359,994.767258844104
"I141","George IV  (Hanover)","King of England","M",1762,1830,"6","6",-37.8866805962408,1065.26613600236
"I142","Maria Anne (Fitzherbert)","","F",1756,1837,"6","7",-34.4987977005657,1082.26209318191
"I143","Caroline Amelia of Brunswick","","F",1768,1821,"3.66666666666667","7",-135.329573905858,1057.05783728831
"I144","Charlotte Augusta (Hanover)","Princess","F",1796,1817,"2.5","6",-221.677803171162,1008.61739342246
"I145","Claude George (Bowes-Lyon)","Earl of Strath.","M",1855,1944,"6","2",142.571739518277,867.804058584103
"I146","Cecilia Nina (Cavendish-Bentin)","Countess of S.","F",1862,1938,"6","2",129.915165448827,850.836608304703
"I147","Margarita  (Mountbatten)","","F",1905,1981,"6","3",81.3236526752457,692.214793067865
"I148","Theodora  (Mountbatten)","","F",1906,1960,"6","3",65.2056730938503,689.803072560512
"I149","Vladimir  (Romanov)","Grand Duke","M",1847,1909,"6","6",30.3111195420665,893.908648186199
"I150","Alexis  (Romanov)","Grand Duke","M",1850,1908,"6","7",-1.71648850425321,899.97473003509
"I151","Serge Alexandrovich (Romanov)","Grand Duke","M",1857,1905,"6","6",57.1564455878477,880.740407671778
"I152","Paul Alexandrovich (Romanov)","Grand Duke","M",1860,1919,"6","5",10.3885229921321,858.385222518906
"I153","George Alexandrovich (Romanov)","Grand Duke","M",1871,1899,"5","6",-121.420274499953,833.092783471449
"I154","Xenia  (Romanov)","Grand Duchess","F",1875,1960,"5","6",-98.5050703101154,808.042335331131
"I155","Michael ""Mischa"" Alexandrovic (Romanov)","Grand Duke","M",1878,1918,"5","6",-67.4590759842016,801.474077261751
"I156","Olga Alexandrovna (Romanov)","Grand Duchess","F",1882,1960,"5","6",-115.460299513997,791.475490287108
"I157","Marie  (Pavlovna)","Grand Duchess","F",1854,1920,"6","6",23.2865980283831,871.934144650844
"I158","Cyril Vladimirovitch (Romanov)","Grand Duke","M",1876,1938,"5.5","7",48.2472740140551,790.981786555337
"I159","Boris  (Romanov)","Grand Duke","M",1877,1943,"6","7",50.4800486913701,804.656304515459
"I160","Andrei (Andrew) Vladimirovic (Romanov)","Grand Duke","M",1879,1956,"6","7",-0.744108769806072,804.86605435484
"I161","Mathilde (Maria) (Krzesinska)","","F",1872,1971,"6","8",-57.6969099058024,815.956473820217
"I162","Frederick William III","King of Prussia","M",1770,1840,"6.4","6",107.91384556109,1048.71144720499
"I163","Alexandra of Greece","Princess","F",1870,1891,"6","4",34.3630160216654,831.507988969497
"I164","Dmitri Pavlovich (Romanov)","Grand Duke","M",1891,1941,"6","5",-7.92134403404342,753.117012532865
"I165","Nicholas  (Romanov)","","M",1850,1918,"6","5",160.369795709589,895.332564448947
"I166","Irina ","","F",1895,,"5","7",-102.947225472982,746.652005203914
"I167","Felix  (Yussoupov)","","M",1887,,"5","8",-142.595310387508,765.744684963821
"I168","Sarah Margaret (Ferguson)","Duchess of York","F",1959,,"6","2",81.9216619770325,457.808215135829
"I169","Ronald Ivor (Ferguson)","Major","M",1931,,"6","3",65.1123595065928,561.485770199574
"I170","Susan Mary (Wright)","","F",1937,,"6","3",103.260911000732,551.703361970599
"I171","Teackle Wallis (Warfield)","","M",1871,,"6","5",21.4425916641101,816.806540191901
"I172","Alice  (Montague)","","F",1871,,"6","5",67.5307536578731,814.734295621306
"I173","Violet Hyacinth (Bowes-Lyon)","","F",1882,1893,"6","3",132.277764355022,793.604366183357
"I174","Mary Frances (Bowes-Lyon)","","F",1883,1961,"6","3",155.845256067526,792.722464415042
"I175","Patrick  (Bowes-Lyon)","","M",1884,1949,"6","3",124.45404868552,790.835583148346
"I176","John Herbert (Bowes-Lyon)","","M",1886,1930,"6","3",170.153188043349,775.795513302752
"I177","Alexander Francis (Bowes-Lyon)","","M",1887,1911,"6","3",148.258258048119,781.016109232744
"I178","Fergus  (Bowes-Lyon)","","M",1889,1915,"6","3",139.2034706435,772.8079611401
"I179","Rose  (Bowes-Lyon)","","F",1890,1967,"6","3",153.93045962502,769.185001670273
"I180","Michael Claude (Bowes-Lyon)","","M",1893,1953,"6","3",153.901166897755,755.716976062179
"I181","David  (Bowes-Lyon)","Sir","M",1902,1961,"6","3",132.075630515194,732.347938861413
"I182","Claude  (Bowes-Lyon)","Earl","M",1824,1904,"6","3",86.5222656366285,948.534082575086
"I183","Frances Dora (Smith)","","F",1833,1922,"6","3",153.910670266695,926.999738105851
"I184","Thomas  (Lyon-Bowes)","","M",1773,1846,"6","4",-2.803047592471,1041.11228723147
"I185","Mary  (Carpenter)","","F",1773,,"6","4",36.3246763444421,1042.37322869385
"I186","Thomas George (Lyon-Bowes)","","M",1822,1865,"6","5",10.7257457867412,966.74683315405
"I187","John  (Lyon)","","M",1737,1776,"6","5",-4.87727193049731,1102.68025705875
"I188","Mary Eleanor (Bowes)","","F",1749,1800,"6","5",4.28758546863806,1088.71466752696
"I189","John Lyon (Bowes)","","M",1769,1820,"6","6",-13.9966708355807,1050.76346194236
"I190","Andrew Robinson (Stoney)","","M",1749,,"6","6",46.1447168466888,1088.8132354671
"I191","  (Elphinstone)","Lord","M",1869,1955,"6","4",183.718775515142,831.345658823115
"I192","Dorothy Beatrix (Osborne)","Lady","F",1888,1946,"6","4",126.314967131115,759.12181224086
"I193","Fenella Stuart-Forbes Trefusi (Hepburn)","Hon","F",1889,1966,"6","4",180.350629313718,748.971823535385
"I194","Christian Norah (Dawson-Damer)","Lady","F",1890,1959,"6","4",97.446949641786,757.543611655168
"I195","  (Granville)","Lord","M",1880,1953,"6","4",99.4185943772344,791.882193309607
"I196","Elizabeth  (Cator)","","F",1899,1959,"6","4",181.262853197011,727.608119013435
"I197","Rachel  (Clay)","Lady","F",1907,,"6","4",110.701033559433,675.239677754284
"I198","Jeanne d'Albret of France","","F",1528,,"4.33333333333333","14",-212.938586607458,1299.6976575133
"I199","Frederick Charles of Prussia","Prince","M",1835,,"5.5","4",-128.526949642605,917.869149481399
"I200","Maria Anna of Anhalt","","F",1835,,"5.5","4",-87.3520172224543,921.857196600501
"I201","John  (Campbell)","Duke of Argyll","M",1845,1914,"5.5","6",-63.3906275360832,911.822623720376
"I202","Frederick  (Hanover)","Duke of York","M",1763,1827,"6","6",58.9844907196659,1068.30580672543
"I203","William IV Henry (Hanover)","King of England","M",1765,1837,"6","6",70.3854484298309,1056.07551663908
"I204","Charlotte Augusta Matild (Hanover)","Princess Royal","F",1766,1828,"6","6",22.9446397633534,1065.71666559218
"I205","Ferdinand ","","M",1785,1851,"4.5","7",-203.900015089421,1026.47105577325
"I206","Mary ","","F",1799,1860,"5.5","6",-74.373345061258,994.417999471829
"I207","Charles  (Cavendish-Bentin)","Reverend","M",1817,1865,"6","3",109.263509216251,954.396516009131
"I208","Caroline Louisa (Burnaby)","","F",1832,1918,"6","3",76.0586245247314,928.368827406678
"I209","Augusta Sophia (Hanover)","","F",1768,1840,"6","6",54.6340349553808,1059.53941573943
"I210","Elizabeth  (Hanover)","","F",1770,1840,"6","6",32.7462776430171,1056.87041562776
"I211","Frederick VI of Hesse-Homburg","Landgrave","M",1769,1829,"6","7",55.6620520232941,1052.111107325
"I212","Ernest Augustus I (Hanover)","King of Hanover","M",1771,1851,"7","6",177.440616569644,1054.18133097284
"I213","Augustus Frederick (Hanover)","Duke of Sussex","M",1773,1843,"6","6",11.250758773517,1053.20090442795
"I214","Mary  (Hanover)","","F",1776,1857,"6","6",87.1215034182488,1045.55448129072
"I215","Sophia  (Hanover)","","F",1777,1848,"6","6",50.2832732910896,1047.02843277068
"I216","Octavius  (Hanover)","","M",1779,1783,"6","6",8.64866148517009,1041.80104870243
"I217","Alfred  (Hanover)","","M",1780,1783,"6","6",61.9659724318312,1041.38650771994
"I218","Amelia  (Hanover)","","F",1783,1810,"6","6",27.0642837991875,1037.11641641929
"I219","Adelaide Louisa Theresa","Princess","F",1792,1849,"6","7",105.123832446107,1014.06990257973
"I220","Charlotte Augusta Louis (Hanover)","","F",1819,1819,"6","7",90.5971652539562,970.733291873726
"I221","Elizabeth Georgiana Adelaid (Hanover)","","F",1820,1821,"6","7",67.4472148452073,973.500522282266
"I222","Twin-Boy 1 ","","M",1822,1822,"6","7",112.571504567731,967.936908914923
